"","YYYY","MM","DD","WTMP","Date","WTMP_K"
"371",2008,3,4,4.74583333333333,2008-03-04,277.895833333333
"372",2010,3,4,2.8125,2010-03-04,275.9625
"373",2011,3,4,4.5,2011-03-04,277.65
"374",2012,3,4,7.55833333333333,2012-03-04,280.708333333333
"375",2013,3,4,3.69166666666667,2013-03-04,276.841666666667
"376",2014,3,4,0.791666666666667,2014-03-04,273.941666666667
"377",2015,3,4,-0.233333333333333,2015-03-04,272.916666666667
"378",2001,4,4,8.5625,2001-04-04,281.7125
"379",2003,4,4,9.01666666666667,2003-04-04,282.166666666667
"380",2006,4,4,10.0875,2006-04-04,283.2375
"381",2008,4,4,8.81666666666667,2008-04-04,281.966666666667
"382",2010,4,4,11.0458333333333,2010-04-04,284.195833333333
"383",2011,4,4,8.07916666666667,2011-04-04,281.229166666667
"384",2012,4,4,11.7958333333333,2012-04-04,284.945833333333
"385",2013,4,4,6.98333333333333,2013-04-04,280.133333333333
"386",2014,4,4,7.39166666666667,2014-04-04,280.541666666667
"387",2001,5,4,16.5833333333333,2001-05-04,289.733333333333
"388",2003,5,4,14.6166666666667,2003-05-04,287.766666666667
"389",2006,5,4,16.6916666666667,2006-05-04,289.841666666667
"390",2008,5,4,16.4416666666667,2008-05-04,289.591666666667
"391",2010,5,4,16.9041666666667,2010-05-04,290.054166666667
"392",2011,5,4,16.6041666666667,2011-05-04,289.754166666667
"393",2012,5,4,16.0625,2012-05-04,289.2125
"394",2013,5,4,15.175,2013-05-04,288.325
"395",2014,5,4,14.3333333333333,2014-05-04,287.483333333333
"396",2015,5,4,14.9625,2015-05-04,288.1125
"397",2001,6,4,18.5291666666667,2001-06-04,291.679166666667
"398",2003,6,4,15.9375,2003-06-04,289.0875
"399",2006,6,4,22.125,2006-06-04,295.275
"400",2008,6,4,20.2666666666667,2008-06-04,293.416666666667
"401",2010,6,4,23.3863636363636,2010-06-04,296.536363636364
"402",2011,6,4,23.4958333333333,2011-06-04,296.645833333333
"403",2012,6,4,22.475,2012-06-04,295.625
"404",2013,6,4,21.925,2013-06-04,295.075
"405",2014,6,4,21.0708333333333,2014-06-04,294.220833333333
"406",2015,6,4,20.8375,2015-06-04,293.9875
"407",2001,7,4,24.9,2001-07-04,298.05
"408",2003,7,4,23.3291666666667,2003-07-04,296.479166666667
"409",2006,7,4,26.2875,2006-07-04,299.4375
"410",2008,7,4,25.2291666666667,2008-07-04,298.379166666667
"411",2010,7,4,24.9958333333333,2010-07-04,298.145833333333
"412",2011,7,4,25.8333333333333,2011-07-04,298.983333333333
"413",2012,7,4,26.9208333333333,2012-07-04,300.070833333333
"414",2013,7,4,26.0125,2013-07-04,299.1625
"415",2014,7,4,26.2083333333333,2014-07-04,299.358333333333
"416",2015,7,4,24.7214285714286,2015-07-04,297.871428571429
"417",2001,8,4,26.35,2001-08-04,299.5
"418",2003,8,4,25.8708333333333,2003-08-04,299.020833333333
"419",2006,8,4,29.9041666666667,2006-08-04,303.054166666667
"420",2008,8,4,27.0916666666667,2008-08-04,300.241666666667
"421",2010,8,4,27.3583333333333,2010-08-04,300.508333333333
"422",2011,8,4,27.775,2011-08-04,300.925
"423",2012,8,4,27.9416666666667,2012-08-04,301.091666666667
"424",2013,8,4,25.5708333333333,2013-08-04,298.720833333333
"425",2014,8,4,25.5458333333333,2014-08-04,298.695833333333
"426",2015,8,4,27.6,2015-08-04,300.75
"427",2006,9,4,22.9541666666667,2006-09-04,296.104166666667
"428",2008,9,4,25.7708333333333,2008-09-04,298.920833333333
"429",2010,9,4,26.5791666666667,2010-09-04,299.729166666667
"430",2011,9,4,24.7583333333333,2011-09-04,297.908333333333
"431",2012,9,4,27.2,2012-09-04,300.35
"432",2013,9,4,26.0833333333333,2013-09-04,299.233333333333
"433",2014,9,4,26.6375,2014-09-04,299.7875
"434",2015,9,4,27.4,2015-09-04,300.55
"435",2003,10,4,19.0125,2003-10-04,292.1625
"436",2006,10,4,21.125,2006-10-04,294.275
"437",2008,10,4,20.3291666666667,2008-10-04,293.479166666667
"438",2010,10,4,20.3541666666667,2010-10-04,293.504166666667
"439",2011,10,4,18.7583333333333,2011-10-04,291.908333333333
"440",2012,10,4,22.1333333333333,2012-10-04,295.283333333333
"441",2013,10,4,22.2125,2013-10-04,295.3625
"442",2014,10,4,21.9125,2014-10-04,295.0625
"443",2015,10,4,18.7666666666667,2015-10-04,291.916666666667
"444",2001,11,4,14.9958333333333,2001-11-04,288.145833333333
"445",2003,11,4,15.575,2003-11-04,288.725
"446",2006,11,4,11.6625,2006-11-04,284.8125
"447",2008,11,4,13.3166666666667,2008-11-04,286.466666666667
"448",2010,11,4,14.1583333333333,2010-11-04,287.308333333333
"449",2011,11,4,14.0208333333333,2011-11-04,287.170833333333
"450",2012,11,4,11.8,2012-11-04,284.95
"451",2013,11,4,14.3166666666667,2013-11-04,287.466666666667
"452",2014,11,4,13.8875,2014-11-04,287.0375
"453",2015,11,4,15.74375,2015-11-04,288.89375
"454",2001,12,4,12.1833333333333,2001-12-04,285.333333333333
"455",2003,12,4,7.69166666666667,2003-12-04,280.841666666667
"456",2006,12,4,10.1083333333333,2006-12-04,283.258333333333
"457",2008,12,4,7.14583333333333,2008-12-04,280.295833333333
"458",2010,12,4,7.9375,2010-12-04,281.0875
"459",2011,12,4,9.63333333333333,2011-12-04,282.783333333333
"460",2012,12,4,8.77083333333333,2012-12-04,281.920833333333
"461",2013,12,4,6.69583333333333,2013-12-04,279.845833333333
"462",2014,12,4,7.44166666666667,2014-12-04,280.591666666667
"463",2015,12,4,10.1,2015-12-04,283.25
