"","YY","MM","DD","WTMP","WTMP_K","Date"
"387",94,4,19,1.05,274.2,1994-04-19
"388",95,4,19,2.56666666666667,275.716666666667,1995-04-19
"389",93,5,19,2.9304347826087,276.080434782609,1993-05-19
"390",94,5,19,2.69545454545455,275.845454545455,1994-05-19
"391",95,5,19,3.38333333333333,276.533333333333,1995-05-19
"392",93,6,19,4.93333333333333,278.083333333333,1993-06-19
"393",94,6,19,8.525,281.675,1994-06-19
"394",95,6,19,13.5958333333333,286.745833333333,1995-06-19
"395",93,7,19,18.1782608695652,291.328260869565,1993-07-19
"396",94,7,19,15.5863636363636,288.736363636364,1994-07-19
"397",95,7,19,17.6875,290.8375,1995-07-19
"398",93,8,19,21.9,295.05,1993-08-19
"399",94,8,19,17.4375,290.5875,1994-08-19
"400",95,8,19,22.9083333333333,296.058333333333,1995-08-19
"401",94,9,19,17.8208333333333,290.970833333333,1994-09-19
"402",95,9,19,17.6833333333333,290.833333333333,1995-09-19
"403",93,10,19,11.8625,285.0125,1993-10-19
"404",94,10,19,13.9826086956522,287.132608695652,1994-10-19
"405",95,10,19,12.125,285.275,1995-10-19
"406",93,4,20,1.97916666666667,275.129166666667,1993-04-20
"407",94,4,20,1.04166666666667,274.191666666667,1994-04-20
"408",95,4,20,2.44166666666667,275.591666666667,1995-04-20
"409",93,5,20,2.99565217391304,276.145652173913,1993-05-20
"410",94,5,20,2.7304347826087,275.880434782609,1994-05-20
"411",95,5,20,3.32083333333333,276.470833333333,1995-05-20
"412",93,6,20,4.79166666666667,277.941666666667,1993-06-20
"413",94,6,20,9.6375,282.7875,1994-06-20
"414",95,6,20,16.7666666666667,289.916666666667,1995-06-20
"415",93,7,20,18.1125,291.2625,1993-07-20
"416",94,7,20,15.1782608695652,288.328260869565,1994-07-20
"417",95,7,20,16.9375,290.0875,1995-07-20
"418",93,8,20,21.4,294.55,1993-08-20
"419",94,8,20,17.5166666666667,290.666666666667,1994-08-20
"420",95,8,20,22.8125,295.9625,1995-08-20
"421",94,9,20,17.725,290.875,1994-09-20
"422",95,9,20,17.275,290.425,1995-09-20
"423",93,10,20,11.8375,284.9875,1993-10-20
"424",94,10,20,14.0333333333333,287.183333333333,1994-10-20
"425",95,10,20,10.9958333333333,284.145833333333,1995-10-20
"426",93,4,21,2.10416666666667,275.254166666667,1993-04-21
"427",94,4,21,1.00416666666667,274.154166666667,1994-04-21
"428",95,4,21,2.63333333333333,275.783333333333,1995-04-21
"429",93,5,21,3.07083333333333,276.220833333333,1993-05-21
"430",94,5,21,2.65833333333333,275.808333333333,1994-05-21
"431",95,5,21,3.33333333333333,276.483333333333,1995-05-21
"432",93,6,21,5.125,278.275,1993-06-21
"433",94,6,21,11.8416666666667,284.991666666667,1994-06-21
"434",95,6,21,15.5333333333333,288.683333333333,1995-06-21
"435",93,7,21,18.4625,291.6125,1993-07-21
"436",94,7,21,15.625,288.775,1994-07-21
"437",95,7,21,16.7666666666667,289.916666666667,1995-07-21
"438",93,8,21,20.8833333333333,294.033333333333,1993-08-21
"439",94,8,21,17.3166666666667,290.466666666667,1994-08-21
"440",95,8,21,22.6958333333333,295.845833333333,1995-08-21
"441",94,9,21,17.8333333333333,290.983333333333,1994-09-21
"442",95,9,21,17.1083333333333,290.258333333333,1995-09-21
"443",93,10,21,11.5333333333333,284.683333333333,1993-10-21
"444",94,10,21,14.204347826087,287.354347826087,1994-10-21
"445",95,10,21,11.475,284.625,1995-10-21
"446",93,4,22,2.4,275.55,1993-04-22
